"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3260","Проверка позитивного сценария заказа самоката","tests","2026-05-17","passed","2026-05-17","TestOrder","test_order","",""
"","1774","Проверка ответов FAQ","tests","2026-05-17","passed","2026-05-17","TestFAQ","test_faq","",""
"","1813","Проверка ответов FAQ","tests","2026-05-17","passed","2026-05-17","TestFAQ","test_faq","",""
"","1814","Проверка ответов FAQ","tests","2026-05-17","passed","2026-05-17","TestFAQ","test_faq","",""
"","3525","Проверка позитивного сценария заказа самоката","tests","2026-05-17","passed","2026-05-17","TestOrder","test_order","",""
"","1806","Проверка ответов FAQ","tests","2026-05-17","passed","2026-05-17","TestFAQ","test_faq","",""
"","7173","Проверка перехода по логотипу Яндекса","tests","2026-05-17","passed","2026-05-17","TestLogo","test_logo","",""
"","1816","Проверка ответов FAQ","tests","2026-05-17","passed","2026-05-17","TestFAQ","test_faq","",""
"","1701","Проверка ответов FAQ","tests","2026-05-17","passed","2026-05-17","TestFAQ","test_faq","",""
"","3410","Проверка позитивного сценария заказа самоката","tests","2026-05-17","passed","2026-05-17","TestOrder","test_order","",""
"","2834","Проверка ответов FAQ","tests","2026-05-17","passed","2026-05-17","TestFAQ","test_faq","",""
"","1333","Проверка перехода по логотипу Самоката","tests","2026-05-17","passed","2026-05-17","TestLogo","test_logo","",""
"","1710","Проверка ответов FAQ","tests","2026-05-17","passed","2026-05-17","TestFAQ","test_faq","",""
"","3382","Проверка позитивного сценария заказа самоката","tests","2026-05-17","passed","2026-05-17","TestOrder","test_order","",""
